candidate_id,department,gender,race_ethnicity,hired
C1000,Engineering,Female,White,0
C1001,Marketing,Male,Hispanic,0
C1002,Marketing,Female,Asian,1
C1003,Marketing,Female,Hispanic,0
C1004,Content,Male,Two or more / Other,0
C1005,Data,Non-binary,Hispanic,1
C1006,Content,Female,Asian,0
C1007,Marketing,Female,White,1
C1008,Content,Male,Hispanic,0
C1009,Engineering,Male,White,1
C1010,Marketing,Male,Black,1
C1011,Engineering,Female,Black,1
C1012,Data,Female,Two or more / Other,1
C1013,Marketing,Female,Two or more / Other,0
C1014,Content,Male,White,1
C1015,Content,Male,Hispanic,1
C1016,Marketing,Female,Hispanic,1
C1017,Content,Male,White,0
C1018,Content,Female,White,0
C1019,Content,Female,White,1
C1020,Content,Female,Hispanic,0
C1021,Data,Male,White,1
C1022,Engineering,Non-binary,Two or more / Other,1
C1023,Data,Female,White,1
C1024,Content,Female,Two or more / Other,0
C1025,Marketing,Male,White,0
C1026,Engineering,Male,Hispanic,0
C1027,Content,Male,White,0
C1028,Data,Male,Black,0
C1029,Content,Female,Hispanic,0
C1030,Engineering,Female,Asian,0
C1031,Marketing,Female,Asian,0
C1032,Engineering,Male,White,0
C1033,Content,Male,White,0
C1034,Content,Male,White,0
C1035,Marketing,Male,White,0
C1036,Marketing,Male,Hispanic,0
C1037,Marketing,Male,Hispanic,1
C1038,Data,Male,Hispanic,0
C1039,Engineering,Female,Asian,1
C1040,Content,Male,Hispanic,0
C1041,Engineering,Female,Hispanic,0
C1042,Engineering,Female,White,1
C1043,Engineering,Male,White,0
C1044,Marketing,Female,Black,1
C1045,Data,Female,Asian,0
C1046,Data,Male,White,0
C1047,Marketing,Male,Black,0
C1048,Data,Female,Hispanic,0
C1049,Engineering,Male,White,1
C1050,Data,Male,White,1
C1051,Data,Male,Asian,1
C1052,Engineering,Female,Hispanic,1
C1053,Content,Female,White,0
C1054,Data,Female,Asian,0
C1055,Content,Female,White,0
C1056,Data,Male,Asian,0
C1057,Data,Female,White,0
C1058,Content,Male,Black,1
C1059,Engineering,Male,White,0
C1060,Content,Female,White,0
C1061,Engineering,Male,Asian,1
C1062,Content,Female,White,0
C1063,Marketing,Female,White,0
C1064,Content,Female,White,1
C1065,Engineering,Female,Hispanic,0
C1066,Content,Female,Hispanic,1
C1067,Marketing,Male,Two or more / Other,1
C1068,Engineering,Male,White,0
C1069,Engineering,Male,White,1
C1070,Data,Male,White,0
C1071,Engineering,Male,Black,1
C1072,Content,Female,Two or more / Other,0
C1073,Engineering,Male,Hispanic,0
C1074,Engineering,Male,Black,0
C1075,Content,Male,White,0
C1076,Marketing,Male,Asian,1
C1077,Engineering,Female,White,0
C1078,Engineering,Female,White,1
C1079,Engineering,Female,White,0
C1080,Marketing,Female,White,0
C1081,Data,Male,White,1
C1082,Engineering,Female,White,0
C1083,Content,Male,White,1
C1084,Content,Male,Black,0
C1085,Content,Male,White,0
C1086,Engineering,Female,White,1
C1087,Engineering,Male,Two or more / Other,0
C1088,Marketing,Male,Hispanic,0
C1089,Content,Male,Black,1
C1090,Content,Male,White,0
C1091,Content,Female,Asian,1
C1092,Data,Male,White,0
C1093,Marketing,Male,White,1
C1094,Content,Male,Asian,0
C1095,Engineering,Female,Black,0
C1096,Data,Male,Hispanic,1
C1097,Data,Male,Black,0
C1098,Engineering,Male,Black,0
C1099,Data,Female,White,0
C1100,Marketing,Female,White,0
C1101,Engineering,Female,White,1
C1102,Data,Male,White,1
C1103,Engineering,Female,Asian,0
C1104,Engineering,Female,White,0
C1105,Engineering,Female,Black,0
C1106,Content,Male,Hispanic,0
C1107,Marketing,Male,Hispanic,0
C1108,Content,Male,White,1
C1109,Engineering,Female,White,1
C1110,Engineering,Male,Two or more / Other,0
C1111,Data,Male,Hispanic,0
C1112,Data,Male,Hispanic,1
C1113,Data,Female,Asian,0
C1114,Engineering,Male,Hispanic,0
C1115,Data,Female,White,0
C1116,Marketing,Female,Black,0
C1117,Marketing,Female,White,0
C1118,Engineering,Male,Black,0
C1119,Data,Female,Two or more / Other,0
C1120,Content,Female,Black,1
C1121,Engineering,Female,White,1
C1122,Engineering,Male,White,0
C1123,Content,Male,Two or more / Other,1
C1124,Engineering,Male,White,0
C1125,Content,Male,White,1
C1126,Content,Male,White,0
C1127,Data,Male,White,0
C1128,Engineering,Male,White,0
C1129,Marketing,Female,Black,0
C1130,Data,Male,White,1
C1131,Data,Female,White,0
C1132,Data,Female,White,0
C1133,Engineering,Male,White,1
C1134,Data,Female,White,1
C1135,Data,Male,Hispanic,1
C1136,Content,Female,White,1
C1137,Content,Male,White,1
C1138,Marketing,Female,White,1
C1139,Content,Male,White,1
C1140,Content,Male,White,0
C1141,Data,Male,White,1
C1142,Data,Female,Asian,0
C1143,Content,Female,White,0
C1144,Data,Male,Black,0
C1145,Content,Male,White,1
C1146,Data,Male,White,0
C1147,Marketing,Female,White,0
C1148,Content,Male,Hispanic,0
C1149,Engineering,Male,Asian,0
C1150,Marketing,Female,White,0
C1151,Content,Female,White,1
C1152,Engineering,Male,White,0
C1153,Engineering,Female,White,0
C1154,Data,Male,Hispanic,0
C1155,Engineering,Female,White,0
C1156,Data,Male,White,1
C1157,Data,Female,Asian,0
C1158,Engineering,Female,White,1
C1159,Marketing,Female,White,0
C1160,Marketing,Male,Hispanic,0
C1161,Content,Female,White,0
C1162,Marketing,Male,White,0
C1163,Content,Male,White,0
C1164,Content,Female,Asian,0
C1165,Content,Male,White,0
C1166,Data,Female,White,0
C1167,Marketing,Female,White,0
C1168,Content,Male,White,1
C1169,Data,Female,Black,0
C1170,Data,Male,White,1
C1171,Data,Male,Black,0
C1172,Marketing,Male,Black,0
C1173,Content,Female,Asian,0
C1174,Data,Male,White,1
C1175,Content,Male,Asian,1
C1176,Content,Male,Black,0
C1177,Content,Non-binary,White,1
C1178,Data,Female,Hispanic,1
C1179,Marketing,Female,Asian,0
C1180,Content,Female,White,0
C1181,Content,Female,Asian,1
C1182,Content,Male,White,1
C1183,Marketing,Male,Black,0
C1184,Content,Female,Two or more / Other,0
C1185,Marketing,Female,White,0
C1186,Content,Male,Hispanic,1
C1187,Content,Male,White,1
C1188,Data,Female,Hispanic,1
C1189,Content,Male,Black,0
C1190,Engineering,Female,White,1
C1191,Content,Male,White,1
C1192,Marketing,Male,White,0
C1193,Engineering,Female,White,0
C1194,Content,Male,White,0
C1195,Engineering,Male,White,0
C1196,Marketing,Female,White,0
C1197,Marketing,Female,White,0
C1198,Data,Male,Hispanic,1
C1199,Content,Male,Hispanic,0
C1200,Data,Female,Hispanic,0
C1201,Engineering,Non-binary,White,0
C1202,Data,Male,Asian,0
